"t_us","t_s","weight_raw_kg","offset_raw_kg","weight_adj_kg","weight_raw_N","weight_adj_N"
56341,0.056341,0.0176952332258224,0,0.0176952332258224,0.173530958914012,0.173530958914012
245535,0.245535,-0.0627093762159348,0,-0.0627093762159348,-0.614968904267997,-0.614968904267997
434740,0.43474,-0.0251458287239075,0,-0.0251458287239075,-0.246596341255307,-0.246596341255307
623946,0.623946,0.0117968171834946,0,0.0117968171834946,0.115687257232517,0.115687257232517
813150,0.81315,0.015677347779274,0,0.015677347779274,0.153742262599617,0.153742262599617
1002362,1.002362,-0.01272813975811,0,-0.01272813975811,-0.12482041175887,-0.12482041175887
1191577,1.191577,0.00574319064617157,0,0.00574319064617157,0.0563214605502784,0.0563214605502784
1380783,1.380783,-0.00434619188308716,0,-0.00434619188308716,-0.0426215826302767,-0.0426215826302767
1569987,1.569987,0.0302681475877762,0,0.0302681475877762,0.296829129541665,0.296829129541665
1759189,1.759189,0.00714018940925598,0,0.00714018940925598,0.0700213384702802,0.0700213384702802
1948392,1.948392,0.0114863812923431,0,0.0114863812923431,0.112642921100557,0.112642921100557
2137600,2.1376,0.0318203568458557,0,0.0318203568458557,0.312051102462411,0.312051102462411
2338636,2.338636,0.0072953999042511,0,0.0072953999042511,0.071543433471024,0.071543433471024
2527839,2.527839,-0.00636406242847443,0,-0.00636406242847443,-0.0624101328141987,-0.0624101328141987
2717048,2.717048,0.0310442596673965,0,0.0310442596673965,0.304440189067274,0.304440189067274
2918086,2.918086,0.00062088668346405,0,0.00062088668346405,0.00608881839439273,0.00608881839439273
3107310,3.10731,-0.00186264514923096,0,-0.00186264514923096,-0.0182663090527058,-0.0182663090527058
3296551,3.296551,0.015677347779274,0,0.015677347779274,0.153742262599617,0.153742262599617
3485789,3.485789,-0.0251458287239075,0,-0.0251458287239075,-0.246596341255307,-0.246596341255307
3686859,3.686859,-0.021730974316597,0,-0.021730974316597,-0.213108059281856,-0.213108059281856
3876114,3.876114,-0.0287159234285355,0,-0.0287159234285355,-0.281607010490447,-0.281607010490447
4065358,4.065358,0.00589841604232788,0,0.00589841604232788,0.0578437016814947,0.0578437016814947
4254599,4.254599,1.43377864360809,0,1.43377864360809,14.0605653353393,14.0605653353393
4443816,4.443816,2.88245868682861,0,2.88245868682861,28.2672634811878,28.2672634811878
4633048,4.633048,3.64288759231567,0,3.64288759231567,35.7245236071825,35.7245236071825
4822261,4.822261,4.67852354049683,0,4.67852354049683,45.8806428784132,45.8806428784132
5011496,5.011496,4.94333124160767,0,4.94333124160767,48.4775193205118,48.4775193205118
5200709,5.200709,4.85190582275391,0,4.85190582275391,47.5809422367096,47.5809422367096
5389927,5.389927,4.54844856262207,0,4.54844856262207,44.6050430966377,44.6050430966377
5579153,5.579153,4.30459594726562,0,4.30459594726562,42.2136658462524,42.2136658462524
5768377,5.768377,3.40990042686462,0,3.40990042686462,33.439700021112,33.439700021112
5957592,5.957592,-0.0192474275827408,0,-0.0192474275827408,-0.188752785704285,-0.188752785704285
6146807,6.146807,0.091425321996212,0,0.091425321996212,0.896576133954152,0.896576133954152
6336019,6.336019,0.0464111566543579,0,0.0464111566543579,0.455137969404459,0.455137969404459
6525237,6.525237,0.00714018940925598,0,0.00714018940925598,0.0700213384702802,0.0700213384702802
6714447,6.714447,0.0378739982843399,0,0.0378739982843399,0.371417045275122,0.371417045275122
6903648,6.903648,-0.0117968022823334,0,-0.0117968022823334,-0.115687111102045,-0.115687111102045
7092845,7.092845,0.0426858514547348,0,0.0426858514547348,0.418605205168575,0.418605205168575
7282052,7.282052,0.0184713304042816,0,0.0184713304042816,0.181141872309148,0.181141872309148
7471255,7.471255,0.0437723994255066,0,0.0437723994255066,0.429260600826144,0.429260600826144
7660458,7.660458,0.0412888526916504,0,0.0412888526916504,0.404905327248573,0.404905327248573
7849670,7.84967,0.0718674510717392,0,0.0718674510717392,0.704778939052671,0.704778939052671
8038836,8.038836,0.0676764696836472,0,0.0676764696836472,0.663679451423138,0.663679451423138
8227974,8.227974,0.0555692166090012,0,0.0555692166090012,0.544947858058661,0.544947858058661
8417119,8.417119,0.0197131037712097,0,0.0197131037712097,0.193319509097934,0.193319509097934
8606266,8.606266,0.0617780685424805,0,0.0617780685424805,0.605835895872116,0.605835895872116
8795437,8.795437,0.00139699876308441,0,0.00139699876308441,0.0136998779200017,0.0136998779200017
8984648,8.984648,-0.00838194787502289,0,-0.00838194787502289,-0.0821988291285932,-0.0821988291285932
9173864,9.173864,-0.0176952183246613,0,-0.0176952183246613,-0.173530812783539,-0.173530812783539
9363078,9.363078,0.0142803639173508,0,0.0142803639173508,0.140042530810088,0.140042530810088
9552298,9.552298,-0.0372530966997147,0,-0.0372530966997147,-0.365328080750257,-0.365328080750257
